Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        8     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.00     0.00        8     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00        8     0.00     0.00  Order const& std::forward<Order const&>(std::remove_reference<Order const&>::type&)
  0.00      0.00     0.00        7     0.00     0.00  NCursesUI::render(std::map<double, std::deque<Order, std::allocator<Order> >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&, std::map<double, std::deque<Order, std::allocator<Order> >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&, std::deque<TradeEvent, std::allocator<TradeEvent> > const&)
  0.00      0.00     0.00        7     0.00     0.00  OrderBook::getAsks()
  0.00      0.00     0.00        7     0.00     0.00  OrderBook::getBids()
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<Order>::deallocate(Order*, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<Order>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<Order*>::deallocate(Order**, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<Order*>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::deallocate(std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > >*, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::destroy<std::pair<double const, std::deque<Order, std::allocator<Order> > > >(std::pair<double const, std::deque<Order, std::allocator<Order> > >*)
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::allocate(unsigned long, void const*)
  0.00      0.00     0.00        7     0.00     0.00  TradeLogger::getTrades() const
  0.00      0.00     0.00        7     0.00     0.00  OrderBook::getLogger() const
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<Order>::_M_max_size() const
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<Order*>::_M_max_size() const
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_M_max_size() const
  0.00      0.00     0.00        7     0.00     0.00  std::map<double, std::deque<Order, std::allocator<Order> >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::end() const
  0.00      0.00     0.00        7     0.00     0.00  std::map<double, std::deque<Order, std::allocator<Order> >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::begin() const
  0.00      0.00     0.00        7     0.00     0.00  std::map<double, std::deque<Order, std::allocator<Order> >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::rbegin() const
  0.00      0.00     0.00        7     0.00     0.00  std::deque<TradeEvent, std::allocator<TradeEvent> >::end() const
  0.00      0.00     0.00        7     0.00     0.00  std::deque<TradeEvent, std::allocator<TradeEvent> >::begin() const
  0.00      0.00     0.00        7     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::rbegin() const
  0.00      0.00     0.00        7     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_Deque_impl::~_Deque_impl()
  0.00      0.00     0.00        7     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_M_allocate_map(unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_M_create_nodes(Order**, Order**)
  0.00      0.00     0.00        7     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.00     0.00        7     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_M_allocate_node()
  0.00      0.00     0.00        7     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_M_destroy_nodes(Order**, Order**)
  0.00      0.00     0.00        7     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_M_deallocate_map(Order**, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_M_initialize_map(unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_M_deallocate_node(Order*)
  0.00      0.00     0.00        7     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::~_Deque_base()
  0.00      0.00     0.00        7     0.00     0.00  std::allocator_traits<std::allocator<Order> >::deallocate(std::allocator<Order>&, Order*, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::allocator_traits<std::allocator<Order> >::allocate(std::allocator<Order>&, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::allocator_traits<std::allocator<Order*> >::deallocate(std::allocator<Order*>&, Order**, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::allocator_traits<std::allocator<Order*> >::allocate(std::allocator<Order*>&, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >&, std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > >*, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > >::destroy<std::pair<double const, std::deque<Order, std::allocator<Order> > > >(std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >&, std::pair<double const, std::deque<Order, std::allocator<Order> > >*)
